"iq","milk","fem","weeks","social","rank","educ"
82,0,1,0.24375,4,3,4
89,0,0,0.24375,3,1,1
91,0,1,0.24375,3,1,1
105,0,1,0.24375,4,1,3
69,1,0,0.24375,4,2,3
70,1,0,0.24375,4,1,2
76,1,1,0.24375,3,1,3
76,1,0,0.24375,4,1,4
78,1,1,0.24375,1,2,3
78,1,1,0.24375,4,1,3
83,1,1,0.24375,3,1,1
85,1,1,0.24375,4,2,4
87,1,0,0.24375,3,1,3
87,1,0,0.24375,4,2,3
88,1,0,0.24375,3,1,2
89,1,1,0.24375,3,2,1
89,1,0,0.24375,4,4,3
92,1,0,0.24375,1,2,3
94,1,1,0.24375,4,1,2
95,1,1,0.24375,2,1,3
95,1,0,0.24375,4,2,1
96,1,0,0.24375,4,1,1
96,1,1,0.24375,4,1,3
97,1,0,0.24375,2,2,1
98,1,1,0.24375,2,1,3
98,1,0,0.24375,4,1,2
98,1,1,0.24375,4,2,2
99,1,0,0.24375,2,1,3
100,1,1,0.24375,2,1,2
101,1,0,0.24375,3,1,4
101,1,0,0.24375,4,1,3
102,1,0,0.24375,4,1,4
103,1,1,0.24375,3,1,1
103,1,0,0.24375,3,2,4
103,1,1,0.24375,4,2,3
105,1,1,0.24375,1,2,3
106,1,1,0.24375,3,1,5
106,1,0,0.24375,4,1,2
106,1,1,0.24375,4,3,2
106,1,1,0.24375,4,1,3
107,1,0,0.24375,2,1,2
108,1,1,0.24375,1,1,5
108,1,0,0.24375,4,1,1
108,1,1,0.24375,4,1,3
109,1,0,0.24375,4,4,4
109,1,1,0.24375,4,1,2
110,1,1,0.24375,1,1,1
110,1,0,0.24375,2,2,1
110,1,0,0.24375,2,1,3
110,1,1,0.24375,3,1,1
111,1,1,0.24375,1,2,3
111,1,1,0.24375,3,3,1
113,1,0,0.24375,3,2,5
113,1,1,0.24375,3,2,2
113,1,0,0.24375,4,1,4
115,1,1,0.24375,3,2,5
116,1,1,0.24375,3,2,4
118,1,1,0.24375,2,1,3
120,1,0,0.24375,1,2,2
120,1,1,0.24375,2,1,1
120,1,1,0.24375,1,2,4
120,1,1,0.24375,4,1,1
120,1,1,0.24375,4,2,1
124,1,0,0.24375,3,1,5
125,1,1,0.24375,2,1,2
127,1,1,0.24375,4,1,1
128,1,1,0.24375,3,1,2
128,1,1,0.24375,4,3,5
128,1,0,0.24375,4,1,1
135,1,1,0.24375,3,4,3
130,1,1,0.24375,1,1,2
140,1,1,0.24375,1,1,5
130,1,0,0.24375,1,1,2
139,1,1,0.24375,2,2,5
146,1,1,0.24375,2,2,5
74,0,1,0.285714286,4,1,1
75,0,0,0.285714286,4,2,1
83,0,1,0.285714286,3,2,1
88,0,0,0.285714286,4,1,2
90,0,1,0.285714286,3,3,2
93,0,0,0.285714286,2,1,3
93,0,1,0.285714286,4,1,1
94,0,0,0.285714286,3,1,1
96,0,1,0.285714286,4,1,2
99,0,1,0.285714286,4,2,2
104,0,1,0.285714286,1,1,5
104,0,0,0.285714286,3,1,2
128,0,1,0.285714286,4,1,2
58,1,0,0.285714286,4,1,4
58,1,1,0.285714286,4,1,4
71,1,0,0.285714286,4,3,4
72,1,0,0.285714286,3,1,1
72,1,0,0.285714286,4,2,1
72,1,0,0.285714286,4,2,4
73,1,1,0.285714286,2,2,2
75,1,1,0.285714286,4,1,3
77,1,0,0.285714286,4,1,2
78,1,1,0.285714286,4,2,1
78,1,0,0.285714286,4,2,2
79,1,1,0.285714286,3,1,4
81,1,0,0.285714286,3,2,2
83,1,0,0.285714286,3,1,3
83,1,1,0.285714286,4,2,1
83,1,1,0.285714286,3,2,4
83,1,1,0.285714286,4,1,2
85,1,1,0.285714286,3,1,2
85,1,1,0.285714286,4,1,2
90,1,1,0.285714286,3,1,1
92,1,0,0.285714286,4,1,2
93,1,0,0.285714286,3,1,2
