dex,gen,tier,is_legendary,is_mega,name,stat_total,hp,atk,def,sp_atk,sp_def,spd,type1,type2,weakness,height_m,weight_kg,p_male,capture_rate,experience,egg_steps,happiness,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,
1,1,unranked,0,0,bulbasaur,318,45,49,49,65,65,45,grass,poison,19.25,0.7,6.9,88.1,45,1059860,5120,70,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,
2,1,unranked,0,0,ivysaur,405,60,62,63,80,80,60,grass,poison,19.25,1,13,88.1,45,1059860,5120,70,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,
3,1,ou,0,1,mega venusaur,625,80,100,123,122,120,80,grass,poison,19.25,2.4,155.5,88.1,45,1059860,5120,70,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,
3,1,ru,0,0,venusaur,525,80,82,83,100,100,80,grass,poison,19.25,2,100,88.1,45,1059860,5120,70,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,
4,1,unranked,0,0,charmander,309,39,52,43,60,50,65,fire,,18,0.6,8.5,88.1,45,1059860,5120,70,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,
5,1,unranked,0,0,charmeleon,405,58,64,58,80,65,80,fire,,18,1.1,19,88.1,45,1059860,5120,70,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,
6,1,ou,0,1,mega charizard x,634,78,130,111,130,85,100,fire,dragon,18,1.7,110.5,88.1,45,1059860,5120,70,0.5,1,2,0.5,1,1,0.25,1,1,0.25,2,1,1,1,1,2,0.5,1,
6,1,ou,0,1,mega charizard y,634,78,104,78,159,115,100,fire,flying,18.5,1.7,100.5,88.1,45,1059860,5120,70,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,
6,1,nu,0,0,charizard,534,78,84,78,109,85,100,fire,flying,18.5,1.7,90.5,88.1,45,1059860,5120,70,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,
7,1,unranked,0,0,squirtle,314,44,48,65,50,64,43,water,,18,0.5,9,88.1,45,1059860,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
8,1,pu,0,0,wartortle,405,59,63,80,65,80,58,water,,18,1,22.5,88.1,45,1059860,5120,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,
